age,balance,income,campaign,previous,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,loan_no,loan_yes,poutcome_failure,poutcome_other,poutcome_success,poutcome_unknown,TookProduct
42,0,44972,12,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
76,2590,17604,12,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
33,137,28909,12,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
30,569,23628,12,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1
31,3,51945,12,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
55,2678,33017,12,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
35,2830,24180,12,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
31,1494,36891,12,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
35,71,10203,12,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
24,431,20896,12,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
33,636,31341,11,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
45,1783,24941,11,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
59,0,19020,11,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
58,37,13379,11,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
38,157,50165,11,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0
31,79,31136,11,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
26,245,13571,11,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
56,83,19947,11,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
46,120,32665,11,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
34,351,19437,11,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
36,23,38024,11,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
48,2294,9337,11,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
57,295,23793,11,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
37,5436,15459,11,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0
40,192,16987,11,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
31,144,34560,11,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
52,0,20025,11,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
30,18,16192,11,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
25,64,26323,11,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
30,6164,18509,11,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
26,565,36534,11,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
39,0,29914,11,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
57,1,33379,10,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
54,1295,32234,10,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
41,3823,36064,10,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
41,-365,18901,10,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
51,2323,23416,10,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
58,8218,30473,10,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
49,305,13309,10,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
55,136,24894,10,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
50,1138,11654,10,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
83,0,17336,10,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
57,2887,44197,10,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
46,499,35379,10,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
42,704,25821,10,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
23,-19,37348,10,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
45,0,38509,10,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
53,12,34279,10,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
56,-229,37018,10,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
50,36,31408,10,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
33,0,24254,10,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
36,1313,16549,10,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
32,890,21588,10,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
44,-1313,32607,10,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
36,417,18799,10,3,0,0,1,0,1,0,0,1,0,1,0,0,0,0
27,259,27410,10,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
39,1043,29285,10,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
34,632,7747,10,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
41,-182,34830,10,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
41,5037,32378,9,5,1,0,0,0,0,1,0,1,0,0,1,0,0,1
42,401,17561,9,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
56,1906,22048,9,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
58,2,19129,9,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
55,2275,27620,9,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
46,3098,42245,9,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
31,352,15114,9,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
45,638,37068,9,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
47,871,16446,9,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
28,373,36417,9,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0
29,57,23213,9,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
51,-3,13123,9,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
32,55,43729,9,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
34,393,37276,9,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
34,41,8879,9,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
41,171,22636,9,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
48,1159,17349,9,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
53,37,42071,9,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
37,954,23988,9,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
32,0,27071,9,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
53,0,23004,9,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
32,2,20064,9,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0
46,0,25550,9,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
39,14,21857,9,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
23,1021,34669,9,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
41,75,25780,9,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
49,588,26319,9,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
26,1275,12007,9,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
52,4,30944,9,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
36,119,42420,8,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
57,887,35538,8,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
59,0,28910,8,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
33,0,6619,8,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
36,-435,41567,8,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
41,1588,23794,8,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
33,0,25881,8,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
45,59,38774,8,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
40,0,39965,8,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
47,0,27701,8,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
48,5173,42143,8,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
54,2508,36892,8,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
31,7744,40369,8,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
60,1025,50662,8,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
43,7727,38014,8,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
32,71,18866,8,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
58,1798,31278,8,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
57,0,14910,8,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
41,1419,21109,8,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
34,456,27809,8,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
47,65,14212,8,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
33,0,18777,8,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
36,-73,25244,8,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
36,63,36247,8,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
45,907,21311,8,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
57,23,34748,8,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
49,12531,18838,8,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
37,11,26877,8,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
46,328,20526,8,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
50,806,23734,8,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0
50,60,37433,8,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
56,21664,29559,8,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
29,228,30891,8,9,0,1,0,0,1,0,0,1,0,1,0,0,0,0
36,9324,24378,8,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
26,2469,20483,8,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
57,929,20280,8,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
41,771,29955,8,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
32,4,13605,8,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
50,52,27534,8,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
43,0,24889,8,5,0,1,0,0,1,0,0,0,1,1,0,0,0,0
40,9374,17430,8,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0
41,6563,1000,8,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
42,275,35517,8,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
30,6619,24755,8,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
30,2,1000,8,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
28,3,21049,8,6,0,0,1,0,1,0,0,1,0,1,0,0,0,0
34,4348,38048,8,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
32,882,15106,8,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
36,490,36298,8,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
31,1094,10980,8,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
27,-145,32606,8,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
50,567,28246,8,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
37,61,36164,8,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
34,475,32763,8,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
36,2944,43381,8,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1
50,0,16573,8,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
75,1341,50007,7,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
49,15,34261,7,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
51,0,14095,7,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
47,8515,36499,7,4,1,0,0,0,1,0,0,1,0,0,1,0,0,0
46,361,13508,7,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
79,2628,15891,7,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0
44,5181,23886,7,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
41,204,5041,7,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
49,8545,37094,7,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0
40,733,29202,7,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
53,4380,31431,7,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
41,108,12154,7,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
59,0,19771,7,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
41,2067,33823,7,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
43,2767,23935,7,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
32,4089,43146,7,3,0,1,0,0,0,1,0,1,0,1,0,0,0,0
42,230,15230,7,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
51,5050,17207,7,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
48,-583,16747,7,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
44,415,28847,7,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
54,1544,28371,7,3,0,1,0,0,0,1,0,0,1,1,0,0,0,0
34,3990,15474,7,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
37,704,25146,7,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
36,6,19644,7,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
35,0,27595,7,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
47,286,29673,7,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
34,15,41360,7,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
31,156,27754,7,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1
53,263,15014,7,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
41,343,18841,7,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
48,1419,26453,7,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
30,102,47131,7,3,0,1,0,0,0,1,0,1,0,0,1,0,0,1
35,816,24097,7,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
40,1532,22356,7,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
39,763,24179,7,2,0,1,0,0,0,1,0,1,0,0,1,0,0,1
24,9,10605,7,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
41,7,31326,7,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
35,725,17882,7,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0
33,331,29383,7,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0
41,4824,35414,7,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
50,732,15151,7,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
33,0,32569,7,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
49,0,20083,7,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
54,384,26387,7,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
65,2179,18121,7,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
43,136,55428,7,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
45,0,26100,7,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
58,35,26503,7,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
29,858,14802,7,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
61,76,13301,7,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
58,172,23578,7,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
37,801,25803,7,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
57,-967,24572,7,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
31,5,19117,7,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
57,2137,33810,7,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
39,0,32674,7,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
49,306,32604,7,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
53,225,31780,7,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
35,305,29219,7,25,0,1,0,0,1,0,0,1,0,1,0,0,0,0
34,1,21373,7,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
32,518,47087,7,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
28,-298,36862,7,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
43,27733,13643,7,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
48,1499,16534,7,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
40,0,25507,7,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
27,0,23330,7,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
41,748,13767,7,3,0,0,1,0,1,0,0,1,0,0,1,0,0,0
32,930,21380,7,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
43,2731,15677,7,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
28,389,16307,7,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
26,321,12587,7,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
53,0,17972,7,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
29,209,42104,7,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
42,344,10252,7,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
56,1007,21970,6,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
42,63,11054,6,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
43,38,22507,6,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
58,2538,33910,6,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
32,874,71718,6,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1
54,6102,30847,6,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
26,74,36315,6,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
50,-10,32675,6,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
49,265,31041,6,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
38,410,2263,6,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
41,6046,36007,6,2,1,0,0,0,1,0,0,0,1,0,0,1,0,1
47,691,17696,6,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
56,-59,14973,6,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
35,160,39364,6,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
42,0,21479,6,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
37,0,23278,6,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
35,1792,58990,6,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
46,558,30967,6,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
39,83,13341,6,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
60,2131,29032,6,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
53,4554,26421,6,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
49,0,23781,6,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
52,142,33523,6,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
40,260,13495,6,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
53,4994,28298,6,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
50,276,22613,6,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
37,121,34700,6,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
32,228,64230,6,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
46,22,40873,6,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
35,0,6839,6,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
58,225,35010,6,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
56,150,10159,6,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0
48,606,32320,6,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
45,-459,30804,6,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
