Age,Income,Family,CCAvg,Mortgage,Online,edu_graduate,edu_undergrad,LoanTaken
47,60,3,2,0,1,0,1,0
53,20,4,0,0,1,0,1,0
42,115,1,3,0,0,0,1,0
53,69,4,1,0,1,1,0,0
44,130,1,5,0,0,0,1,0
41,85,1,4,0,1,0,0,0
28,135,2,3,0,0,0,1,0
31,135,4,3,0,1,1,0,1
58,12,3,0,0,0,0,0,0
46,29,3,0,0,0,1,0,0
54,133,2,2,0,0,0,0,1
50,19,2,0,118,1,0,1,0
60,41,4,1,174,1,0,1,0
47,40,3,2,0,1,1,0,0
41,82,1,4,0,1,0,0,0
33,50,1,2,0,0,1,0,0
46,18,1,0,0,1,0,0,0
27,109,4,1,0,0,0,0,0
40,42,4,2,126,0,1,0,0
48,78,3,1,0,1,0,1,0
65,51,2,1,0,1,0,1,0
25,113,4,2,0,0,0,0,0
55,118,4,5,0,1,1,0,1
35,29,4,1,0,1,0,0,0
43,34,3,0,0,0,1,0,0
60,64,2,1,236,1,0,0,0
65,121,1,2,0,0,0,1,0
38,48,4,0,0,1,0,0,0
41,80,1,5,0,0,0,1,0
54,161,1,2,0,1,0,1,0
49,94,1,0,0,1,0,1,0
66,15,3,0,0,1,0,0,0
48,74,1,1,0,1,0,1,0
61,30,3,1,0,0,1,0,0
53,44,3,1,198,1,0,0,0
43,22,2,0,0,1,1,0,0
56,38,4,1,166,1,0,1,0
24,35,3,0,0,1,1,0,0
43,69,4,2,0,1,0,1,0
42,43,1,0,136,0,0,1,0
33,32,1,0,166,1,0,0,0
43,49,1,2,0,1,0,1,0
41,9,3,1,0,0,1,0,0
62,45,4,1,0,1,1,0,0
40,82,3,1,309,0,0,1,0
58,92,2,2,103,0,0,1,0
39,39,3,0,0,1,0,0,0
65,81,3,1,0,1,1,0,0
54,35,1,1,0,1,1,0,0
58,61,2,2,193,1,0,0,0
41,73,3,3,0,1,0,1,0
32,112,1,4,366,0,0,1,0
54,12,2,0,0,1,0,0,0
52,38,3,0,0,1,0,0,0
58,73,2,0,0,1,1,0,0
39,78,4,2,118,1,0,1,0
60,80,3,0,0,1,0,1,0
31,115,2,1,101,1,0,1,0
34,82,1,2,251,1,1,0,0
38,74,2,0,0,1,0,1,0
41,70,3,0,0,0,0,0,0
28,81,3,1,276,1,0,1,0
58,149,4,7,0,1,1,0,1
30,39,3,1,0,1,1,0,0
53,98,3,1,0,0,1,0,0
58,45,4,2,0,1,0,1,0
59,49,4,2,0,1,1,0,0
49,128,2,0,0,0,0,1,0
59,42,3,1,0,0,0,1,0
59,18,1,1,0,1,0,0,0
51,31,2,0,161,1,0,0,0
35,58,3,2,149,1,0,1,0
33,48,1,2,0,0,0,0,0
25,54,4,1,0,1,0,1,0
49,70,2,1,0,0,1,0,0
59,124,1,7,0,0,0,1,0
46,84,1,2,0,1,1,0,0
50,83,4,3,188,1,0,0,0
52,163,2,0,116,1,0,1,0
48,42,3,2,0,0,1,0,0
46,118,2,7,0,1,0,1,0
26,132,3,6,0,0,0,0,1
57,24,1,1,0,1,0,1,0
60,22,2,1,0,1,0,1,0
54,58,4,1,0,0,0,0,0
24,60,4,1,0,1,0,1,0
26,15,4,0,0,0,0,1,0
41,83,4,2,0,1,0,1,0
32,79,2,1,0,1,0,0,0
61,41,4,1,0,1,1,0,0
29,134,4,6,0,0,0,0,1
61,80,2,2,0,1,0,1,0
38,52,1,2,0,0,0,1,0
28,70,4,2,0,1,0,1,0
53,92,2,1,0,0,0,1,0
27,43,1,1,0,1,0,1,0
25,21,3,1,0,0,1,0,0
33,23,3,0,0,1,0,0,0
50,13,4,1,0,1,0,1,0
27,112,4,2,0,0,0,0,0
27,138,2,2,0,1,0,1,0
52,11,3,0,0,0,0,1,0
38,171,2,7,0,1,0,1,0
58,42,4,1,0,1,0,1,0
42,168,2,7,0,1,1,0,1
45,85,4,1,0,1,1,0,0
52,44,3,1,135,1,1,0,0
29,65,4,1,244,0,1,0,0
62,11,1,0,0,1,0,1,0
51,38,2,1,164,1,0,0,0
36,10,4,0,81,0,1,0,0
24,135,1,1,0,1,0,1,0
29,148,3,4,0,1,0,1,1
52,63,2,1,0,1,1,0,0
39,115,1,1,0,1,0,0,0
48,45,1,0,0,1,0,1,0
46,159,3,1,315,1,0,0,1
64,169,2,2,122,1,0,1,0
55,112,2,1,0,1,0,1,0
60,93,1,4,0,1,0,1,0
51,29,1,0,140,0,0,0,0
48,21,4,0,0,1,0,1,0
53,144,2,6,0,1,0,1,0
34,13,4,1,95,1,0,1,0
48,165,1,5,0,0,0,1,0
55,9,4,0,89,1,0,1,0
27,59,4,0,90,1,0,1,0
36,158,1,5,0,1,0,0,1
32,29,1,1,0,1,0,0,0
35,20,2,1,0,1,0,0,0
30,68,4,2,0,1,1,0,0
58,65,4,2,0,1,0,1,0
56,61,2,1,105,0,1,0,0
38,91,4,1,100,0,1,0,0
49,31,1,1,0,1,0,1,0
34,71,4,0,0,0,1,0,0
40,73,4,2,0,1,0,1,0
64,172,4,3,282,1,0,1,1
51,20,2,0,0,0,0,1,0
44,55,1,0,0,0,0,1,0
46,69,2,1,209,0,0,1,0
57,155,1,7,0,1,0,1,0
54,94,1,1,0,0,1,0,0
38,92,2,0,249,1,0,1,0
27,125,2,0,0,0,0,1,0
39,74,3,3,0,0,0,1,0
44,72,3,0,0,1,0,0,0
56,61,1,2,0,1,0,0,0
32,25,2,0,0,0,0,1,0
45,83,2,1,0,1,1,0,0
55,41,3,1,0,1,0,0,0
52,58,4,1,91,0,0,0,0
39,93,1,1,0,0,0,0,0
24,39,2,1,0,0,1,0,0
47,148,2,7,0,1,0,1,0
47,53,4,1,98,0,0,0,0
47,92,1,2,0,1,1,0,0
35,61,4,2,0,1,0,0,0
46,38,3,2,135,0,1,0,0
62,58,4,1,0,1,0,1,0
26,80,1,0,150,0,1,0,0
38,71,4,1,0,1,0,0,0
43,89,3,0,0,1,0,0,0
62,83,1,1,0,1,0,0,0
57,28,3,0,0,1,0,1,0
28,52,4,1,0,0,1,0,0
51,70,1,1,169,0,0,1,0
48,71,1,1,0,0,0,0,0
41,75,1,3,280,0,0,0,0
65,170,3,7,99,1,0,0,1
41,78,4,0,78,1,0,1,0
35,25,2,1,0,0,1,0,0
38,60,2,0,0,1,0,0,0
53,120,4,2,111,1,1,0,1
55,99,2,1,264,1,0,1,0
26,55,3,2,113,0,0,0,0
30,29,3,1,117,0,1,0,0
54,170,2,6,325,1,1,0,1
65,53,3,2,0,0,0,1,0
47,138,1,0,0,0,0,1,0
65,134,3,3,121,1,0,0,1
66,42,2,0,138,0,0,0,0
26,99,4,2,0,0,0,0,0
66,18,3,0,0,0,0,1,0
35,24,4,0,0,1,0,1,0
56,55,1,1,77,1,0,1,0
51,58,1,0,0,0,0,1,0
42,111,2,1,251,1,0,0,1
49,33,1,0,0,1,0,0,0
27,74,4,1,112,1,1,0,0
45,38,2,0,0,0,0,1,0
49,23,4,0,98,0,0,0,0
63,61,2,1,0,1,0,1,0
47,81,1,2,138,0,0,1,0
64,129,1,2,0,1,0,1,0
43,33,1,0,0,0,0,0,0
60,63,4,2,0,1,0,1,0
40,70,4,1,0,1,1,0,0
45,45,4,1,158,1,0,1,0
41,65,3,0,0,1,0,0,0
30,74,4,2,0,0,0,1,0
49,50,4,1,0,0,0,0,0
30,22,4,0,109,1,0,0,0
29,30,4,1,0,0,0,0,0
50,73.90673997,4,1,0,1,0,1,0
39,155,2,3,0,1,0,1,0
33,64,4,2,164,1,0,1,0
57,65,4,2,0,0,0,0,0
34,71,4,0,0,1,0,0,0
61,40,3,0,0,1,1,0,0
44,69,3,0,0,1,0,0,0
40,69,3,2,0,0,1,0,0
51,45,3,0,131,1,1,0,0
37,62,3,0,0,0,1,0,0
44,172,2,4,391,1,0,0,1
42,24,3,1,0,1,1,0,0
51,80,1,4,0,0,0,1,0
43,8,3,0,88,1,1,0,0
30,38,4,0,129,1,0,1,0
45,93,4,2,0,0,0,0,0
35,55,1,2,0,1,0,1,0
60,64,2,1,0,0,0,0,0
34,122,1,0,0,1,0,1,0
55,70,3,1,0,1,0,0,0
43,81,2,3,0,0,0,1,0
41,159,1,5,0,1,0,0,1
34,70,4,1,0,0,0,1,0
65,150,2,6,196,0,0,1,0
45,152,2,7,0,1,0,1,0
49,195,4,3,617,0,0,1,1
48,22,1,0,0,0,0,1,0
60,22,1,1,123,1,0,1,0
55,79,3,0,0,1,0,1,0
42,33,1,1,0,1,0,0,0
32,128,2,4,0,1,0,1,0
62,91,1,3,0,1,0,1,0
57,39,4,0,0,1,0,1,0
52,121,1,7,167,1,0,1,0
36,21,1,0,0,1,0,0,0
34,41,3,2,0,0,0,1,0
63,45,2,0,0,1,0,0,0
24,51,3,0,0,1,0,0,0
57,165,1,1,0,1,1,0,1
40,119,2,4,0,1,1,0,1
27,110,4,1,190,1,0,0,0
60,64,1,0,248,0,1,0,0
44,101,3,4,82,0,1,0,1
63,101,1,3,0,1,0,1,1
59,99,1,4,0,0,0,1,1
56,158,4,6,0,0,0,1,1
54,89,1,1,0,1,1,0,0
52,80,1,1,0,1,0,0,0
58,114,2,2,402,1,0,1,0
60,49,3,0,0,1,1,0,0
28,191,1,6,0,1,0,1,0
54,78,4,1,0,1,1,0,0
32,28,3,1,0,0,0,1,0
59,42,1,0,0,1,1,0,0
63,140,1,2,0,0,0,1,0
48,45,1,1,0,1,1,0,0
56,122,2,0,360,1,0,1,0
36,65,3,2,0,1,1,0,0
57,68,1,1,0,1,0,0,0
45,153,2,2,392,0,0,1,0
39,89,4,1,0,0,1,0,0
59,91,1,2,0,1,0,1,0
31,55,4,2,185,1,1,0,0
43,118,2,3,0,0,0,1,0
35,22,1,0,103,0,0,0,0
54,63,3,1,138,1,0,0,0
44,50,3,2,0,1,1,0,0
25,43,2,1,0,1,0,0,0
45,173,4,6,0,1,0,1,0
39,113,1,1,0,1,0,0,0
28,155,4,5,0,1,1,0,1
52,91,4,1,0,0,1,0,0
53,55,4,1,0,1,1,0,0
44,173,2,1,419,1,0,1,0
43,71,3,0,0,0,0,0,0
56,24,2,0,88,0,0,0,0
38,42,1,2,81,1,1,0,0
30,141,2,4,0,1,0,1,0
32,32,1,1,0,1,0,0,0
35,55,4,1,0,0,0,1,0
43,153,2,7,0,1,0,1,0
58,113,2,1,270,0,0,1,0
25,30,2,1,0,0,1,0,0
54,29,3,1,148,0,0,0,0
57,174,1,6,466,1,1,0,1
50,35,1,0,0,1,0,0,0
32,98,2,2,175,1,1,0,0
63,30,2,1,159,1,0,0,0
31,58,2,2,0,0,0,1,0
36,25,4,1,147,0,0,1,0
58,19,4,0,0,0,0,1,0
56,44,4,0,174,1,1,0,0
49,20,4,1,111,1,0,1,0
30,98,2,3,220,1,0,1,0
33,90,2.393970259,1,0,1,0,1,0
45,61,3,0,0,0,0,1,0
30,40,4,2,0,1,1,0,0
47,38,2,2,0,0,0,0,0
25,28,2,1,0,0,1,0,0
63,34,1,1,0,1,0,0,0
55,73,2,2,0,1,0,0,0
65,133,4,2,0,0,0,1,1
44,53,1,0,0,1,0,1,0
51,21,4,0,0,1,0,0,0
35,40,3,0,0,1,0,1,0
30,41,4,1,0,1,1,0,0
31,82,4,1,0,1,1,0,0
54,100,4,3,0,0,0,0,1
45,155,1,7,0,1,0,1,0
45,45,1,0,0,1,0,1,0
58,9,3,0,0,0,0,0,0
54,48,4,1,0,1,0,0,0
53,18,4,0,109,1,0,0,0
33,80,4,3,0,1,0,1,0
60,64,2,2,0,0,0,1,0
50,29,4,0,0,0,0,1,0
26,48,3,0,0,1,1,0,0
54,23,2,0,0,0,0,1,0
28,84,4,0,0,1,0,1,0
36,179,3,6,0,1,0,1,1
29,30,4,1,112,0,1,0,0
54,93,1,4,133,1,0,1,0
55,39,2,1,0,0,1,0,0
61,60,3,0,182,0,1,0,0
36,133,1,3,290,1,0,1,0
45,125,1,2,0,0,0,1,0
64,58,1,1,0,1,0,0,0
60,89,2,2,0,1,0,1,0
49,82,1,2,125,1,1,0,0
60,54,4,2,0,0,0,0,0
45,89,4,1,0,1,0,0,0
32,42,3,2,0,1,0,1,0
52,41,3,1,0,0,1,0,0
35,38,4,1,124,1,1,0,0
40,85,2,0,0,1,0,1,0
27,33,4,1,0,0,0,0,0
58,50,4,2,0,0,0,1,0
47,58,4,3,0,1,0,0,0
28,115,4,3,0,0,1,0,1
46,145,2,6,0,1,0,1,0
43,161,2,7,0,0,0,1,0
56,38,1,0,0,0,0,1,0
28,28,4,0,0,1,0,1,0
42,75,3,2,0,0,0,1,0
32,35,3,1,116,0,0,1,0
62,24,2,1,116,0,0,1,0
37,78,4,0,0,1,1,0,0
51,113,1,1,161,1,0,0,0
39,75,3,2,224,1,0,1,0
43,91,1,5,0,1,0,1,0
52,31,4,0,141,1,0,1,0
30,45,1,1,0,1,1,0,0
52,80,3,0,0,0,0,1,0
61,50,3,1,112,1,0,0,0
36,31,4,1,0,1,1,0,0
58,113,2,3,119,1,1,0,1
47,29,4,0,0,1,0,1,0
64,59,2,1,139,1,0,1,0
52,43,1,1,0,1,1,0,0
58,122,1,3,115,1,0,0,1
48,29,1,1,0,0,0,1,0
64,91,2,0,0,1,0,0,0
58,65,3,2,0,1,0,0,0
47,22,1,1,0,0,0,1,0
49,71,1,1,0,0,0,0,0
31,60,4,2,0,1,1,0,0
61,60,3,2,0,1,0,0,0
51,69,1,0,0,1,0,1,0
28,48,2,1,89,1,0,0,0
39,21,3,0,0,0,1,0,0
54,53,4,2,0,0,1,0,0
50,29,3,0,0,0,0,0,0
30,60,4,2,0,1,1,0,0
64,42,3,0,116,1,1,0,0
29,69,3,0,0,0,0,0,0
48,20,1,1,0,1,0,1,0
35,200,2,3,458,0,0,1,0
60,141,2,2,0,1,0,1,0
55,81,2,3,0,0,0,1,0
29,183,3,8,0,1,0,0,1
48,149,2,5,0,1,1,0,1
43,83,4,3,0,0,0,0,1
66,35,1,1,172,1,1,0,0
25,13,2,0,0,1,0,0,0
45,39,1,2,0,0,0,1,0
34,21,1,0,0,1,0,0,0
48,10,2,0,0,1,0,0,0
32,84,4,1,0,0,1,0,0
50,30,4,0,161,1,0,1,0
43,31,4,0,156,1,0,1,0
64,182,1,1,547,1,1,0,1
60,114,2,6,0,1,0,1,0
43,152,3,6,0,0,1,0,1
60,53,1,0,0,0,1,0,0
64,24,4,0,78,1,1,0,0
44,150,2,3,0,0,0,1,0
60,132,2,6,470,1,0,1,0
54,68,3,1,0,1,0,0,0
33,53,1,1,0,0,0,1,0
56,173,1,4,88,1,1,0,1
29,30,3,1,0,0,1,0,0
25,113,2,0,0,1,0,1,0
60,15,1,0,0,1,1,0,0
55,84,2,3,304,1,0,1,0
39,88,4,1,0,1,1,0,0
37,43,3,2,0,1,0,1,0
53,43,2,2,0,1,0,0,0
34,90,2,2,0,1,0,1,0
42,34,4,0,104,1,0,1,0
60,38,4,1,0,1,0,1,0
50,173,1,1,0,1,0,1,0
41,160,2,8,0,1,0,1,0
25,44,4,0,0,1,1,0,0
50,83,2,0,0,1,0,0,0
48,94,4,2,0,1,0,0,0
32,43,1,2,0,0,0,0,0
50,42,3,1,0,1,1,0,0
59,34,2,0,0,0,0,1,0
50,39,3,1,0,1,1,0,0
44,70,1,0,0,0,1,0,0
31,39,4,1,185,0,0,0,0
40,44,3,2,0,1,0,0,0
36,69,3,3,0,1,1,0,1
51,44,3,0,0,0,0,0,0
64,32,3,0,0,1,0,0,0
47,15,2,0,0,0,0,0,0
52,118,2,6,112,1,0,1,0
51,62,1,1,221,1,1,0,0
31,82,4,2,0,0,1,0,0
39,54,3,3,108,0,0,1,0
30,48,1,2,0,0,0,0,0
27,74,3,0,0,1,0,0,0
41,113,1,1,211,0,0,0,0
53,81,3,1,0,0,1,0,0
54,43,3,1,169,0,1,0,0
28,34,1,1,0,1,1,0,0
34,48,1,2,105,1,0,0,0
61,54,4,1,129,1,1,0,0
48,75,4,1,0,1,1,0,0
36,72,1,2,224,0,0,1,0
56,39,4,0,0,0,0,1,0
24,75,4,0,0,1,0,1,0
64,79,2,2,179,0,0,1,0
26,205,1,6,271,0,0,1,0
33,65,2,0,89,1,0,1,0
64,122,4,0,378,1,0,1,1
39,82,1,0,0,1,1,0,0
54,21,2,0,0,0,0,1,0
32,50,4,2,0,1,0,0,0
62,39,2,2,113,1,0,1,0
27,101,1,1,0,0,0,1,0
53,41,2,0,0,0,0,0,0
51,132,1,0,0,1,0,1,0
44,131,1,4,0,1,0,0,1
31,11,1,0,76,0,1,0,0
57,21,1,0,117,0,0,0,0
25,109,4,2,314,1,0,0,0
30,141,2,4,0,0,0,1,0
40,81,3,0,0,1,0,1,0
63,54,3,2,90,0,0,1,0
35,164,2,7,0,1,0,1,0
43,28,4,0,87,0,0,1,0
27,68,3,2,203,0,0,0,0
44,44,3,2,180,1,0,0,0
49,61,1,1,0,1,0,0,0
61,35,3,1,0,0,1,0,0
60,54,3,0,0,1,1,0,0
59,14,1,0,0,1,0,1,0
28,52,4,2,230,1,0,1,0
52,101,2,0,0,0,0,1,0
28,149,2,7,0,1,0,1,0
34,35,4,0,137,1,0,1,0
60,21,3,0,129,1,0,0,0
39,118,2,1,0,0,0,1,0
30,38,4,2,0,0,1,0,0
49,24,4,0,138,1,0,1,0
43,59,1,3,0,1,0,0,0
63,41,4,1,0,1,0,0,0
28,85,1,0,0,1,1,0,0
51,12,4,1,0,1,0,1,0
33,32,1,0,152,0,0,0,0
53,175,3,3,0,1,0,0,1
34,28,3,0,0,0,0,1,0
34,41,2,0,161,1,0,1,0
40,70,3,2,185,0,0,1,0
49,161,3,6,485,0,1,0,1
35,53,4,2,0,1,1,0,0
39,128,1,3,0,0,0,1,0
55,50,3,1,0,1,1,0,0
29,80,2,2,0,1,1,0,0
54,93,1,2,0,1,1,0,0
25,48,3,0,0,0,0,0,0
52,149,2,6,0,1,0,1,0
46,49,3,2,0,1,1,0,0
57,88,1,2,0,1,1,0,0
52,22,4,0,0,1,0,0,0
28,55,4,2,0,1,0,1,0
44,72,1,0,155,0,0,0,0
24,38,2,1,0,1,1,0,0
40,114,1,3,300,1,0,1,0
34,83,4,4,0,1,0,0,0
39,101,2,0,0,1,0,1,0
50,94,1,4,272,1,0,1,0
41,40,2,2,0,1,0,1,0
31,128,1,6,0,0,0,1,0
29,39,4,2,0,1,0,0,0
30,51,1,1,0,1,0,1,0
44,79,4,2,0,1,0,0,0
33,48,4,2,0,1,1,0,0
50,85,1,0,144,0,0,1,0
42,41,1,1,94,1,0,1,0
48,152,1,3,0,1,0,0,1
24,125,2,7,0,0,0,1,0
56,11,2,0,90,0,0,0,0
28,103,2,2,0,1,0,1,0
56,141,2,0,0,1,0,1,0
58,38,1,1,0,1,0,1,0
29,135,2,0,0,0,0,1,0
63,28,2,0,89,1,1,0,0
28,70,4,2,240,0,0,1,0
57,41,1,1,0,1,0,1,0
34,81,3,0,208,1,1,0,0
28,170,1,0,0,0,0,0,1
27,55,4,1,0,1,1,0,0
37,24,4,1,0,0,0,0,0
52,81,3,1,275,0,1,0,0
49,32,4,1,83,0,0,1,0
65,129,1,1,0,1,0,1,0
60,108,1,0,0,0,0,1,0
37,180,1,8,0,1,0,1,0
63,139,2,6,0,0,0,1,0
40,33,2,1,0,1,0,0,0
46,74,4,2,0,1,0,0,0
63,42,2,0,115,1,0,0,0
57,73,1,3,0,0,0,0,0
33,115,4,2,0,1,1,0,1
41,114,2,1,0,1,1,0,0
44,34,1,0,78,1,0,1,0
33,54,2,1,122,1,1,0,0
52,64,2,1,211,1,0,0,0
30,42,1,0,100,0,0,0,0
45,70,3,2,0,1,0,1,0
49,51,1,1,0,0,1,0,0
45,71,4,2,218,1,0,1,0
32,35,3,1,108,0,0,1,0
45,40,3,1,0,1,1,0,0
57,165,4,2,0,1,0,0,1
61,18,1,1,0,1,0,0,0
57,32,3,1,0,1,0,1,0
60,35,3,0,169,1,0,1,0
40,120,2,6,196,1,0,1,0
53,31,4,0,0,1,0,0,0
42,35,3,1,0,0,0,1,0
62,32,2,0,0,1,0,0,0
43,85,1,3,327,1,0,0,0
35,139,2,7,0,0,0,1,0
50,103,1,0,0,1,0,1,0
45,152,2,1,0,1,0,1,0
52,33,2,2,0,1,1,0,0
35,84,4,2,322,0,1,0,0
58,61,4,1,0,0,0,1,0
62,64,4,2,123,1,0,1,0
50,34,1,1,0,1,1,0,0
25,82,4,2,0,1,0,0,0
47,122,1,5,163,0,0,0,1
28,58,3,1,131,0,0,1,0
34,92,1,2,0,1,0,1,0
49,78,2,2,205,0,1,0,0
54,129,4,4,0,0,0,0,1
50,13,2,0,0,0,0,0,0
37,81,1,2,145,0,0,0,0
38,23,1,0,0,0,0,0,0
52,35,3,0,0,0,0,0,0
63,79,4,1,0,1,1,0,0
39,165,2,3,0,1,0,1,0
63,52,2,2,0,1,0,1,0
65,185,3,2,0,0,1,0,1
46,49,3,2,0,0,1,0,0
54,64,1,1,227,0,0,0,0
54,61,4,2,0,1,0,0,0
52,112,1,2,0,1,0,1,0
63,72,3,2,190,1,0,0,0
66,18,3,0,0,0,0,1,0
23,61,4,2,239,1,0,1,0
51,23,1,0,0,1,0,1,0
34,22,1,0,85,0,0,0,0
49,59,3,2,0,0,0,1,0
29,33,1,2,160,0,1,0,0
47,11,1,0,103,0,0,0,0
46,204,2,2,0,1,0,1,0
52,61,4,1,207,0,0,0,0
55,103,3,1,364,0,1,0,0
61,51,3,1,0,0,0,1,0
34,164,1,6,0,1,0,0,1
58,12,1,0,0,0,1,0,0
40,82,1,3,0,0,1,0,0
43,164,1,2,449,1,0,1,0
35,48,2,1,0,1,1,0,0
24,38,4,0,0,1,1,0,0
48,65,2,1,0,1,1,0,0
44,71,4,1,207,1,0,1,0
54,18,1,0,0,1,0,1,0
59,52,2,1,75,1,0,0,0
45,48,3,2,113,1,1,0,0
26,30,1,1,111,0,0,0,0
40,40,2,2,107,1,0,0,0
32,112,1,3,81,1,0,1,0
29,115,1,1,0,0,0,1,0
51,63,2,1,82,0,0,0,0
42,85,1,3,0,1,0,0,0
64,59,1,2,220,0,0,0,0
44,68,1,0,91,0,0,0,0
37,84,2,1,0,1,0,1,0
44,62,3,0,0,0,0,0,0
35,109,3,4,0,0,0,1,1
41,141,2,7,92,0,0,1,0
56,129,1,7,0,0,0,1,0
62,30,3,0,0,1,1,0,0
58,148,1,4,0,1,0,1,0
47,25,3,0,0,1,1,0,0
35,21,3,1,115,0,0,1,0
29,72,4,2,0,1,0,1,0
43,59,3,0,87,1,0,0,0
62,83,3,1,187,0,1,0,0
41,10,2,0,0,1,1,0,0
34,84,3,0,0,1,1,0,0
50,98,3,2,0,0,1,0,0
47,32,1,1,0,1,0,1,0
29,31,4,0,161,1,1,0,0
59,94,3,0,0,0,0,1,0
56,21,2,0,137,1,0,0,0
61,110,3,4,0,1,0,1,0
58,38,1,2,0,0,0,0,0
49,39,1,1,0,1,0,0,0
45,132,3,1,0,1,1,0,1
50,61,4,2,0,1,0,1,0
64,92,1,2,0,1,0,1,0
39,119,2,6,0,0,0,1,0
58,53,4,2,0,1,0,1,0
62,18,3,1,0,1,1,0,0
45,114,2,4,0,0,1,0,1
58,90,1,3,0,0,0,0,0
43,140,1,7,205,1,0,1,0
28,90,2,3,0,1,0,1,0
26,85,1,1,0,1,0,1,0
49,80,1,1,0,1,0,1,0
66,53,2,1,0,1,0,1,0
33,49,4,2,0,1,1,0,0
61,152,3,3,0,1,0,0,1
64,138,2,2,0,1,1,0,1
36,80,4,2,0,1,1,0,0
49,82,2,2,0,0,1,0,0
52,195,1,8,0,0,0,1,0
61,22,1,1,0,1,0,0,0
32,81,1,2,0,1,0,1,0
61,40,4,2,0,1,0,1,0
45,154,2,2,0,1,0,1,0
30,49,3,1,0,0,1,0,0
62,85,4,3,0,1,1,0,0
57,21,3,0,0,1,1,0,0
58,60,4,1,0,0,1,0,0
29,138,2,4,0,1,0,1,0
53,98,1,1,355,1,0,0,0
64,22,4,0,0,0,1,0,0
49,49,1,1,0,1,1,0,0
38,102,2,1,0,1,0,1,0
56,45,4,0,0,0,1,0,0
56,82,4,1,0,1,0,0,0
52,81,3,1,0,0,1,0,0
64,35,1,1,0,0,1,0,0
53,59,2,1,0,1,1,0,0
29,52,3,1,0,1,1,0,0
48,84,3,0,166,1,0,1,0
32,85,1,2,100,1,1,0,0
54,65,1,0,0,0,0,1,0
37,89,2,1,314,0,1,0,0
47,109,4,1,0,0,0,1,1
37,81,1,2,0,0,0,1,0
64,38,1,1,108,0,0,0,0
43,72,2,1,0,1,0,1,0
33,78,4,2,119,1,1,0,0
26,172,2,6,0,1,1,0,1
42,71,3,2,106,1,0,1,0
54,165,1,4,0,1,0,0,1
41,120,2,3,0,1,0,1,0
55,39,1,0,0,0,0,1,0
65,23,3,0,0,0,1,0,0
50,135,2,4,91,1,0,0,1
55,12,2,0,76,1,0,1,0
62,92,2,0,0,1,1,0,0
53,192,2,6,0,0,0,0,1
32,42,4,0,0,1,0,1,0
56,158,3,3,0,1,0,0,1
54,194,3,6,587,1,0,0,1
44,160,2,7,0,0,0,1,0
48,98,2,6,0,0,0,1,0
46,164,2,7,0,1,0,1,0
45,42,2,2,0,1,0,1,0
45,202,3,10,0,0,0,0,1
58,10,4,0,0,0,0,1,0
29,31,4,0,0,1,1,0,0
